,Unnamed: 0,Product  Name,Rating,Number of rates,Price,Img
140,140,Anker Astro 15000mAh USB Portable Charger,"Xếp hạng: 4,1",24 đánh giá,"9,99 £",Anker Astro 15000mAh USB Portable Charger.png
141,141,GBC Prestige Therm-A-Bind Covers,Xếp hạng: 3,9 đánh giá,"36,01 £",GBC Prestige Therm-A-Bind Covers.png
142,142,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,"Xếp hạng: 4,7",847 đánh giá,"32,00 US$",Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection.png
143,143,Jabra BIZ 2300 Duo QD Duo Corded Headset,"Xếp hạng: 4,4",69 đánh giá,"77,61 US$",Jabra BIZ 2300 Duo QD Duo Corded Headset.png
144,144,Southworth 25% Cotton Antique Laid Paper & Envelopes,"Xếp hạng: 4,6",770 đánh giá,"28,06 US$",Southworth 25% Cotton Antique Laid Paper & Envelopes.png
145,145,Xerox 1883,"Xếp hạng: 3,5",277 đánh giá,"549,99 US$",Xerox 1883.png
147,147,Newell 311,"Xếp hạng: 3,9",10 đánh giá,"229,99 US$",Newell 311.png
148,148,Avery 519,"Xếp hạng: 4,8",946 đánh giá,"13,83 US$",Avery 519.png
149,149,Avaya 5420 Digital phone,"Xếp hạng: 3,7",13 đánh giá,"54,88 US$",Avaya 5420 Digital phone.png
150,150,Xerox 1920,"Xếp hạng: 3,8",82 đánh giá,"699,00 US$",Xerox 1920.png
151,151,Lenovo 17-Key USB Numeric Keypad,"Xếp hạng: 4,7",15 đánh giá,"29,99 US$",Lenovo 17-Key USB Numeric Keypad.png
152,152,Staple envelope,"Xếp hạng: 3,7",4 đánh giá,"21,16 US$",Staple envelope.png
154,154,BIC Brite Liner Highlighters,"Xếp hạng: 4,8",30.960 đánh giá,"2,19 US$",BIC Brite Liner Highlighters.png
155,155,Lexmark MX611dhe Monochrome Laser Printer,"Xếp hạng: 2,6",2 đánh giá,"397,80 US$",Lexmark MX611dhe Monochrome Laser Printer.png
156,156,Space Solutions HD Industrial Steel Shelving.,"Xếp hạng: 4,6",215.205 đánh giá,"60,21 US$",Space Solutions HD Industrial Steel Shelving..png
157,157,SAFCO Arco Folding Chair,"Xếp hạng: 4,4",338 đánh giá,"209,24 US$",SAFCO Arco Folding Chair.png
158,158,Sanford Liquid Accent Highlighters,"Xếp hạng: 4,5",86 đánh giá,"8,40 US$",Sanford Liquid Accent Highlighters.png
159,159,Kensington 7 Outlet MasterPiece Power Center,Xếp hạng: 5,2 đánh giá,"29,48 US$",Kensington 7 Outlet MasterPiece Power Center.png
163,163,"Global Value Steno Chair, Gray","Xếp hạng: 4,4",1.175 đánh giá,"51,20 US$","Global Value Steno Chair, Gray.png"
164,164,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,"Xếp hạng: 4,8",6.416 đánh giá,"13,99 US$",Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center.png
165,165,Avery 51,"Xếp hạng: 4,8",18.669 đánh giá,"27,44 US$",Avery 51.png
169,169,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Xếp hạng: 5,10 đánh giá,"8,50 US$","Sanford Colorific Eraseable Coloring Pencils, 12 Count.png"
170,170,"Tenex File Box, Personal Filing Tote with Lid, Black","Xếp hạng: 4,4",10.729 đánh giá,"23,48 US$","Tenex File Box, Personal Filing Tote with Lid, Black.png"
172,172,AT&T TR1909W,Xếp hạng: 4,121 đánh giá,"32,07 US$",AT&T TR1909W.png
173,173,Nokia Lumia 521 (T-Mobile),"Xếp hạng: 3,9",3.339 đánh giá,"84,99 US$",Nokia Lumia 521 (T-Mobile).png
175,175,Avery Poly Binder Pockets,"Xếp hạng: 4,8",6 đánh giá,"7,67 US$",Avery Poly Binder Pockets.png
176,176,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,"Xếp hạng: 4,7",115.088 đánh giá,"9,45 US$",SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card.png
178,178,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors","Xếp hạng: 4,3",6.809 đánh giá,"40,77 US$","Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors.png"
180,180,Xerox 205,"Xếp hạng: 4,2",855 đánh giá,"763,57 US$",Xerox 205.png
181,181,4009 Highlighters by Sanford,Xếp hạng: 5,1 đánh giá,"11,98 US$",4009 Highlighters by Sanford.png
182,182,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set","Xếp hạng: 4,7",3.460 đánh giá,"5,55 US$","Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set.png"
184,184,Decoflex Hanging Personal Folder File,Còn hàng,2 đánh giá,"37,45 US$",Decoflex Hanging Personal Folder File.png
187,187,Southworth 25% Cotton Linen-Finish Paper & Envelopes,"Xếp hạng: 4,7",409 đánh giá,"27,29 US$",Southworth 25% Cotton Linen-Finish Paper & Envelopes.png
188,188,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,"Xếp hạng: 3,3",30 đánh giá,"71,16 US$",BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables.png
189,189,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Xếp hạng: 5,4 đánh giá,"9,16 US$","Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack.png"
190,190,Eureka Sanitaire  Commercial Upright,"Xếp hạng: 3,8",56 đánh giá,"150,00 US$",Eureka Sanitaire  Commercial Upright.png
192,192,Nortel Business Series Terminal T7208 Digital phone,"Xếp hạng: 3,8",48 đánh giá,"83,50 US$",Nortel Business Series Terminal T7208 Digital phone.png
193,193,"Tennsco Lockers, Gray",Xếp hạng: 5,3 đánh giá,"547,64 US$","Tennsco Lockers, Gray.png"
