Product  Name,Rating,Number of rates,Item Price,Currency
Hewlett Packard 310 Color Digital Copier,3.7,17,89.99,US$
Staples,4.7,40544,9.97,US$
Recycled Premium Regency Composition Covers,3.6,2,62.95,US$
Xerox 219,3.9,134,351.82,US$
Xerox 1903,4.1,357,777.30,US$
Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),4.2,496,179.95,US$
Panasonic KX-TG9541B DECT 6.0 Digital 2-Line Expandable Cordless Phone With Digital Answering System,3.9,93,167.66,US$
Razer Kraken 7.1 Surround Sound Over Ear USB Gaming Headset,4.1,1939,46.00,US$
Hon Rectangular Conference Tables,2.5,2,150.86,US$
Computer Printout Index Tabs,2.0,2,10.99,US$
GBC Wire Binding Combs,4.6,494,25.90,US$
"Iceberg Nesting Folding Chair, 19w x 6d x 43h",3.3,4,89.43,US$
Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,2.2,2,299.40,US$
Ampad #10 Peel & Seel Holiday Envelopes,4.8,32795,9.99,US$
Cardinal Holdit Data Disk Pockets,4.3,42,10.00,US$
Avery 496,4.8,496,5.12,US$
Kensington K72356US Mouse-in-a-Box USB Desktop Mouse,4.8,4,9.99,US$
Avery 50,4.8,12586,14.02,US$
Fiskars Spring-Action Scissors,4.2,5496,20.99,US$
Anker 24W Portable Micro USB Car Charger,4.7,43003,9.99,US$
"SAFCO Mobile Desk Side File, Wire Frame",4.7,2135,92.10,US$
Newell 313,5.0,1,117.70,US$
Jawbone JAMBOX Wireless Bluetooth Speaker,4.3,4228,69.99,US$
Xerox 1895,3.2,2,1895.00,US$
High Speed Automatic Electric Letter Opener,3.6,16,118.74,US$
Belkin 8 Outlet Surge Protector,4.7,5734,28.79,US$
Panasonic KX TS3282B Corded phone,3.4,127,144.18,US$
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",4.5,4,694.37,US$
Avery 49,4.0,15,61.44,US$
Hoover Upright Vacuum With Dirt Cup,4.3,3254,150.82,US$
Avery Non-Stick Binders,4.6,456,6.19,US$
Nortel Meridian M5316 Digital phone,5.0,2,189.99,US$
"Bush Westfield Collection Bookcases, Dark Cherry Finish",4.0,7,315.56,US$
HTC One Mini,3.4,12,48.07,€
Dell Slim USB Multimedia Keyboard,4.6,495,37.99,US$
O'Sullivan Living Dimensions 3-Shelf Bookcases,4.2,2514,139.99,US$
GBC Standard Plastic Binding Systems' Combs,4.6,172,37.73,US$
Holmes Harmony HEPA Air Purifier for 17 x 20 Room,4.6,17475,299.99,US$
"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",4.5,721,7.45,US$
Macally Suction Cup Mount,4.1,1533,15.95,US$
Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),4.8,25022,60.99,US$
Panasonic KX MC6040 Color Laser Multifunction Printer,3.5,28,10700.00,₹
Berol Giant Pencil Sharpener,4.3,1115,7.65,US$
KeyTronic KT400U2 - Keyboard - Black,3.7,3,1409.00,₹
Avery 498,4.4,1478,37.17,US$
Canon imageCLASS 2200 Advanced Copier,5.0,4,74.97,US$
Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,4.4,287,217.99,US$
Accohide Poly Flexible Ring Binders,3.6,62,11.98,US$
SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,4.0,204,320.64,US$
Stackable Trays,4.8,787,21.32,US$
"TOPS Voice Message Log Book, Flash Format",5.0,1,13.44,US$
Boston 1730 StandUp Electric Pencil Sharpener,1.5,5,44.99,US$
"GBC Laser Imprintable Binding System Covers, Desert Sand",4.7,13,29.99,US$
Xerox 2000,4.4,26,93.79,US$
Green Bar Computer Printout Paper,4.6,24,81.84,US$
Global Italian Leather Office Chair,3.7,7,685.00,US$
"Avery Flip-Chart Easel Binder, Black",4.7,13,65.48,US$
AT&T 17929 Lendline Telephone,4.3,3053,56.72,US$
Hewlett-Packard Deskjet 6540 Color Inkjet Printer,4.2,7,229.99,US$
Cisco TelePresence System EX90 Videoconferencing Unit,3.0,6,38.99,US$
Avery Fluorescent Highlighter Four-Color Set,4.6,316,16.40,US$
Xerox 1944,4.1,357,777.30,US$
Xerox 215,4.1,357,777.30,US$
Plantronics Voyager Pro HD - Bluetooth Headset,4.2,511,149.00,US$
AT&T EL51110 DECT,4.3,15834,25.12,US$
BlackBerry Q10,4.1,1290,6.69,US$
Compact Automatic Electric Letter Opener,3.5,11,198.00,US$
SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,4.7,115088,7.39,US$
SanDisk Cruzer 8 GB USB Flash Drive,4.7,267735,7.15,US$
"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",4.0,10,113.99,US$
Advantus Rolling Drawer Organizers,4.5,234,58.72,US$
GBC Plasticlear Binding Covers,4.6,532,28.32,US$
Plastic Stacking Crates & Casters,4.6,78,49.59,US$
Belkin F9M820V08 8 Outlet Surge,4.7,5734,28.79,US$
APC 7 Outlet Network SurgeArrest Surge Protector,3.5,3,26.95,US$
Xerox 1953,3.5,277,549.99,US$
Xerox 228,3.5,277,549.99,US$
Embossed Ink Jet Note Cards,4.6,183,19.96,US$
Xerox 1942,4.1,357,777.30,US$
"Carina Mini System Audio Rack, Model AR050B",4.7,517,139.99,US$
"GE 4 Foot Flourescent Tube, 40 Watt",5.0,1,72.71,US$
Nokia Lumia 925,3.2,57,94.00,£
Staple remover,4.5,361,10.26,£
Dana Swing-Arm Lamps,3.0,18,149.91,US$
Xerox 1969,5.0,1,38.49,US$
"Dual Level, Single-Width Filing Carts",4.5,170,68.56,US$
Staple envelope,3.7,4,21.16,US$
Boston 16750 Black Compact Battery Pencil Sharpener,4.3,294,19.85,US$
Global Highback Leather Tilter in Burgundy,3.5,341,221.92,US$
"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",4.6,6190,16.99,US$
Harbour Creations 67200 Series Stacking Chairs,4.3,10,156.24,US$
Xerox 198,4.9,7,19.60,US$
Xerox 1997,4.1,357,777.30,US$
Stacking Trays by OIC,2.6,2,12.29,US$
Epson Perfection V600 Photo Scanner,4.4,6649,349.99,US$
Durable Pressboard Binders,4.6,45,69.97,US$
Alliance Rubber Bands,4.7,53,11.19,US$
"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",3.4,42,44.99,US$
DAX Clear Channel Poster Frame,3.5,25,28.98,US$
#10 Self-Seal White Envelopes,4.3,33,17.99,US$
Hon Pagoda Stacking Chairs,5.0,3,546.54,US$
Newell 339,4.6,3,170.00,US$
36X48 HARDFLOOR CHAIRMAT,5.0,1,66.48,US$
"Perixx PERIBOARD-512B, Ergonomic Split Keyboard",4.4,10867,49.99,US$
Logitech Wireless Headset H600 Over-The-Head Design,4.0,4143,85.49,US$
Xerox 230,3.7,157,237.00,US$
Vtech CS6719,4.4,35415,25.13,US$
Xerox 194,4.1,21,194.29,US$
"Bush Cubix Collection Bookcases, Fully Assembled",4.7,701,155.00,US$
"Universal Recycled Hanging Pressboard Report Binders, Letter Size",5.0,3,8.56,US$
Xerox 1980,5.0,3,60.70,US$
Strathmore Photo Frame Cards,4.6,1064,29.88,US$
Okidata C331dn Printer,3.9,59,1299.99,US$
Xerox 1907,4.4,1517,9.30,£
Panasonic KX TS3282W Corded phone,4.0,72,155.01,US$
"Global Leather and Oak Executive Chair, Black",5.0,1,298.95,US$
Cubify CubeX 3D Printer Double Head Print,3.5,39,844.99,US$
Wilson Jones Impact Binders,4.3,120,13.48,US$
Newell 34,4.8,6,7.95,US$
Polycom CX300 Desktop Phone USB VoIP phone,4.0,1,54.95,US$
Boston 1799 Powerhouse Electric Pencil Sharpener,4.6,485,26.95,US$
Staple envelope,3.7,4,21.16,US$
Wilson Jones Four-Pocket Poly Binders,4.3,8,15.10,US$
Sterilite Show Offs Storage Containers,4.6,341,13.37,US$
"Alliance Super-Size Bands, Assorted Sizes",4.6,5948,10.02,US$
Avery White Multi-Purpose Labels,4.5,42,6.77,US$
Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,4.3,762,99.99,US$
Letter or Legal Size Expandable Poly String Tie Envelopes,4.6,329,9.95,US$
Tennsco Commercial Shelving,4.8,3,285.53,US$
Cisco SPA112 2 Port Phone Adapter,4.3,1566,72.85,US$
Col-Erase Pencils with Erasers,4.7,9352,13.26,US$
Xerox 221,4.1,357,777.30,US$
Disposable Triple-Filter Dust Bags,4.5,466,10.89,US$
Motorola Droid Maxx,4.4,396,59.95,US$
Xerox 1893,3.5,277,549.99,US$
Kensington Expert Mouse Optical USB Trackball for PC or Mac,4.3,8422,66.00,US$
"Master Caster Door Stop, Gray",3.5,2,14.99,US$
Tenex Chairmats For Use with Hard Floors,3.0,21,32.98,US$
Fellowes Command Center 5-outlet power strip,4.6,154,14.16,US$
"Hon Metal Bookcases, Putty",4.5,108,179.99,US$
Xerox 1900,4.7,10,181.00,US$
OIC Stacking Trays,3.7,40,18.52,US$
Polycom VoiceStation 500 Conference phone,3.9,60,460.75,US$
Xerox 204,4.4,109,124.75,£
Imation Bio 2GB USB Flash Drive Imation Corp,2.9,3,68.00,US$
"Hon Metal Bookcases, Black",4.5,107,397.22,US$
"Bush Birmingham Collection Bookcase, Dark Cherry",4.2,184,212.20,US$
AT&T 1080 Phone,4.2,816,179.95,US$
Avery Metallic Poly Binders,4.6,637,6.99,US$
Ativa MDM8000 8-Sheet Micro-Cut Shredder,4.5,27605,70.42,US$
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,4.8,6414,19.99,US$
Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,4.8,106,39.52,US$
Ooma Telo VoIP Home Phone System,4.3,8006,69.99,US$
Xerox 200,4.0,69,16.10,US$
Staples in misc. colors,4.7,615,4.99,US$
Akro Stacking Bins,4.6,5034,10.40,US$
Xerox 1882,4.1,357,777.30,US$
Boston Home & Office Model 2000 Electric Pencil Sharpeners,4.6,6214,19.99,US$
Newell 31,4.6,673,31.99,CA$
Acrylic Self-Standing Desk Frames,5.0,5,17.31,US$
Acco Side-Punched Conventional Columnar Pads,4.6,107,9.07,US$
Adjustable Personal File Tote,4.6,2370,43.29,US$
Samsung Galaxy S4 Active,4.1,202,44.99,US$
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,3.5,10,214.62,US$
Logitech Wireless Anywhere Mouse MX for PC and Mac,4.3,1793,158.00,US$
Acco Economy Flexible Poly Round Ring Binder,3.6,62,11.98,US$
Balt Split Level Computer Training Table,4.6,47,46.84,US$
Dixon Ticonderoga Core-Lock Colored Pencils,4.5,186,9.99,US$
SAFCO Folding Chair Trolley,4.5,186,428.61,US$
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",4.2,188,295.37,US$
Avery 515,4.5,17,16.27,US$
"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",4.3,253,21.49,US$
Things To Do Today Spiral Book,4.3,68,4.99,£
Logitech Illuminated Ultrathin Keyboard with Backlighting,3.8,19,398.00,US$
Serrated Blade or Curved Handle Hand Letter Openers,4.6,19,7.45,US$
Logitech G430 Surround Sound Gaming Headset with Dolby 7.1 Technology,4.1,10570,161.80,US$
LG Exalt,4.0,248,39.95,US$
GBC Poly Designer Binding Covers,4.8,7,8.99,US$
Economy #2 Pencils,5.0,1,5.49,US$
"DAX Copper Panel Document Frame, 5 x 7 Size",4.7,24456,13.49,US$
Micro Innovations Wireless Classic Keyboard with Mouse,2.1,3,30.90,US$
LG G3,4.5,46,2796.99,US$
HP Office Paper (20Lb. and 87 Bright),4.8,49601,11.17,US$
"Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow",4.4,935,9.99,US$
Staple envelope,3.7,4,21.16,US$
RCA ViSYS 25423RE1 Corded phone,3.8,59,244.97,US$
3M Polarizing Light Filter Sleeves,4.0,1069,38.99,US$
Newell 348,4.4,225,19.93,US$
Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,4.3,38,5.99,US$
Boston 1900 Electric Pencil Sharpener,3.9,28,32.45,US$
WD My Passport Ultra 1TB Portable External Hard Drive,4.6,6629,81.99,US$
Xerox 1890,3.5,277,549.99,US$
Prang Drawing Pencil Set,4.6,4299,11.12,US$
Cisco IP Phone 7961G VoIP phone - Dark gray,2.0,2,32.72,US$
"Hon Metal Bookcases, Gray",4.5,107,219.50,US$
"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",4.1,356,59.16,US$
Rush Hierlooms Collection Rich Wood Bookcases,4.2,2514,199.99,US$
Newell 338,5.0,2,3.66,US$
O'Sullivan 5-Shelf Heavy-Duty Bookcases,3.6,2,233.99,US$
Hammermill Color Copier Paper (28Lb. and 96 Bright),4.7,6910,13.98,US$
Xerox 1990,3.8,1202,173.94,US$
Xerox 1933,1.7,2,99.85,US$
"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",1.0,2,123.18,US$
Cisco Desktop Collaboration Experience DX650 IP Video Phone,5.0,2,199.00,US$
Newell 323,2.5,6,324.96,US$
"Boston 1827 Commercial Additional Cutter, Drive Gear & Gear Rack for 1606",4.7,2,309.70,US$
Staple holder,4.7,40544,9.97,US$
"3D Systems Cube Printer, 2nd Generation, Magenta",4.0,1,234.68,£
Avery 487,4.7,3196,67.45,US$
Hewlett-Packard Deskjet D4360 Printer,3.3,74,159.99,US$
DAX Wood Document Frame.,3.4,13,42.56,CA$
Xerox 208,1.0,1,25000.00,US$
Easy-staple paper,4.3,3253,17.72,US$
Avery 503,5.0,2,12.43,US$
Holmes 99% HEPA Air Purifier,4.6,5800,43.52,US$
Hon 4-Shelf Metal Bookcases,1.0,1,494.95,US$
Newell 316,4.0,34,115.79,CA$
Fellowes Staxonsteel Drawer Files,3.5,16,235.10,US$
Avery Hi-Liter Smear-Safe Highlighters,4.7,437,8.24,US$
Xerox 1992,4.4,177,18.60,US$
Fellowes Recycled Storage Drawers,2.0,1,124.38,US$
Xerox 190,5.0,8,189.63,US$
Xerox 1892,3.8,82,699.00,US$
"24 Capacity Maxi Data Binder Racks, Pearl",4.7,5,24.26,US$
Southworth 25% Cotton Premium Laser Paper and Envelopes,4.6,773,29.82,US$
Multimedia Mailers,2.8,2,30.58,US$
Avery 5,4.7,428,14.99,US$
Jensen SMPS-640 - speaker phone,3.6,19,106.96,£
"Master Caster Door Stop, Large Brown",3.5,2,14.99,US$
Xerox 1956,3.6,355,1699.00,US$
Nu-Dell Oak Frame,3.0,1,19.93,US$
Document Clip Frames,4.6,732,29.99,US$
Xerox 1937,3.5,277,549.99,US$
Canon PC-428 Personal Copier,5.0,1,129.99,US$
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,3.5,10,214.62,US$
Xerox 1917,3.8,82,699.00,US$
SanDisk Cruzer 16 GB USB Flash Drive,4.7,59975,16.99,US$
Panasonic KX TS208W Corded phone,4.1,296,58.65,US$
Xerox 19,3.0,1,211.94,US$
AmazonBasics 3-Button USB Wired Mouse,4.6,76034,7.19,US$
Kleencut Forged Office Shears by Acme United Corporation,5.0,1,14.11,US$
Logitech Keyboard K120,4.6,5977,12.99,US$
Dixon Ticonderoga Pencils,4.8,50213,11.28,US$
Texas Instrument TI-15 Fraction Calculator,4.6,1025,21.66,US$
"Deflect-o EconoMat Nonstudded, No Bevel Mat",4.0,172,101.22,US$
OIC Thumb-Tacks,4.4,39,3.99,US$
"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",3.9,6,11.75,US$
PNY Rapid USB Car Charger - Black,3.0,4,29.07,€
"SmartStand Mobile Device Holder, Assorted Colors",4.6,146,8.99,US$
Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,4.7,15003,26.39,US$
Staples,4.7,40544,9.97,US$
Euro Pro Shark Stick Mini Vacuum,3.7,3,299.99,US$
Easy-staple paper,4.3,3253,17.72,US$
Astroparche Fine Business Paper,2.7,6,45.04,US$
Zebra ZM400 Thermal Label Printer,5.0,2,371.21,US$
Letter Size File,4.8,44637,24.14,US$
Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,3.5,200,26.78,US$
Samsung Galaxy S4,3.8,36,44.19,US$
Office Star Flex Back Scooter Chair with Aluminum Finish Frame,4.5,25,570.35,CA$
Samsung Convoy 3,3.6,406,5.99,US$
Avery 491,4.3,382,7.85,US$
Xerox 209,4.7,11,229.65,US$
"Peel & Seel Recycled Catalog Envelopes, Brown",4.6,158,12.99,US$
Avanti 1.7 Cu. Ft. Refrigerator,5.0,4,190.74,US$
Acme Design Stainless Steel Bent Scissors,1.0,1,15.99,US$
"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",4.0,4,188.29,US$
Hewlett-Packard 300S Scientific Calculator,2.9,10,38.88,US$
Avery 495,4.7,222,13.06,US$
iOttie HLCRIO102 Car Mount,4.4,128673,23.99,US$
"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",4.7,437,8.24,US$
EcoTones Memo Sheets,4.7,2386,15.97,US$
Texas Instruments TI-34 Scientific Calculator,4.8,7774,19.99,US$
Kingston Digital DataTraveler 64GB USB 2.0,4.3,246,89.99,US$
GBC VeloBinder Strips,4.3,36,29.98,US$
Xerox 1963,3.7,12,425.00,US$
Logitech Z-906 Speaker sys - home theater - 5.1-CH,4.6,5690,398.99,US$
Luxo Adjustable Task Clamp Lamp,3.0,1,385.00,US$
Unpadded Memo Slips,4.0,1,10.01,US$
Barrel Sharpener,2.6,2,9.99,US$
Acco Glide Clips,4.4,71,10.98,US$
"Bush Cubix Conference Tables, Fully Assembled",4.7,5,774.84,US$
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",4.6,8,214.77,US$
Xerox 20,4.8,12,19.99,US$
"HP Officejet Pro 8600 e-All-In-One Printer, Copier, Scanner, Fax",3.5,1517,1076.60,US$
"Iris 3-Drawer Stacking Bin, Black",4.7,8275,35.99,US$
Panasonic Business Telephones KX-T7736,3.8,10,229.00,US$
Hunt Boston Vacuum Mount KS Pencil Sharpener,3.4,42,44.99,US$
Portfile Personal File Boxes,4.5,3535,19.99,US$
"Peel & Seel Recycled Catalog Envelopes, Brown",4.6,158,12.99,US$
Boston 16765 Mini Stand Up Battery Pencil Sharpener,4.1,1406,16.79,US$
Avery 475,4.0,69,18.60,US$
"Vtech AT&T CL2940 Corded Speakerphone, Black",4.3,9631,38.99,US$
Tenex B1-RE Series Chair Mats for Low Pile Carpets,3.8,1359,56.76,US$
Griffin GC17055 Auxiliary Audio Cable,3.8,30,19.95,US$
RCA ViSYS 25825 Wireless digital phone,2.3,10,159.99,US$
Xerox 1902,4.5,13,107.95,US$
Xerox 207,3.6,207,220.67,US$
Socket Bluetooth Cordless Hand Scanner (CHS),5.0,3,224.32,US$
Okidata B400 Printer,2.1,3,849.99,US$
"Logitech Wireless Boombox Speaker - portable - wireless, wired",4.0,426,54.99,US$
Xerox 1947,3.5,277,549.99,US$
Sony Micro Vault Click 4 GB USB 2.0 Flash Drive,4.5,45,49.00,US$
iOttie XL Car Mount,4.4,128707,24.99,US$
Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,4.6,9,72.13,US$
First Data TMFD35 PIN Pad,3.7,34,179.87,US$
Ultra Commercial Grade Dual Valve Door Closer,4.2,64,169.90,US$
"3D Systems Cube Printer, 2nd Generation, White",2.8,31,⋅,Xem
Panasonic KX - TS880B Telephone,4.0,805,52.99,US$
Xerox 1936,3.7,12,425.00,US$
Avery Legal 4-Ring Binder,4.9,62,23.54,US$
Avaya 5410 Digital phone,3.6,21,84.95,US$
"TOPS Money Receipt Book, Consecutively Numbered in Red,",4.8,8,23.30,US$
Desktop 3-Pocket Hot File,4.7,146,31.71,US$
Wirebound Voice Message Log Book,5.0,8,18.64,US$
Tensor Brushed Steel Torchiere Floor Lamp,3.8,23,149.99,US$
Ricoh - Ink Collector Unit for GX3000 Series Printers,4.5,10,23.99,US$
Avery 479,4.5,557,18.58,US$
Okidata C610n Printer,3.6,8,1888.79,US$
Acme Galleria Hot Forged Steel Scissors with Colored Handles,5.0,2,21.87,US$
Tensor Track Tree Floor Lamp,4.0,272,71.09,US$
Hon Olson Stacker Chairs,4.6,6,476.44,US$
Belkin 7-Outlet SurgeMaster Home Series,4.7,847,32.00,US$
Griffin GC36547 PowerJolt SE Lightning Charger,4.5,48,33.26,US$
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,4.0,131,81.03,US$
Cherry 142-key Programmable Keyboard,4.8,24,35.99,US$
NeatDesk Desktop Scanner & Digital Filing System,3.3,2217,325.00,US$
Hoover Commercial Lightweight Upright Vacuum,3.9,388,209.00,US$
"Stride Job 150 Highlighters, Chisel Tip, Assorted Colors",4.6,428,17.00,US$
Xerox 1983,3.8,690,999.00,US$
"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",3.9,462,1049.99,US$
Avery 484,4.5,606,17.78,US$
Electrix Fluorescent Magnifier Lamps & Weighted Base,4.4,33,79.69,US$
Okidata C610n Printer,3.6,8,1888.79,US$
Staples in misc. colors,4.7,615,4.99,US$
Plantronics Single Ear Headset,4.2,21725,69.99,US$
Xerox 1938,2.7,3,802.98,£
NETGEAR RangeMax WNR1000 Wireless Router,4.2,3670,66.95,US$
Hewlett-Packard Desktjet 6988DT Refurbished Printer,3.4,83,385.00,US$
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",4.0,7,315.82,US$
"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",3.9,36,9.99,US$
Sterling Rubber Bands by Alliance,4.4,279,10.12,US$
Kensington 6 Outlet SmartSocket Surge Protector,4.8,6416,51.07,US$
Maxell CD-R Discs,4.5,238,32.70,US$
Avery Hi-Liter Pen Style Six-Color Fluorescent Set,4.7,9892,6.29,US$
Star Micronics TSP100 TSP143LAN Receipt Printer,4.3,109,295.00,US$
"Snap-A-Way Black Print Carbonless Speed Message, No Reply Area, Duplicate",4.9,15,37.70,US$
Lexmark 20R1285 X6650 Wireless All-in-One Printer,3.1,354,98.99,US$
Nokia Lumia 1020,4.1,109,138.00,US$
Okidata B401 Printer,3.9,11,129.99,£
Xerox Blank Computer Paper,4.4,177,18.60,US$
4009 Highlighters,4.5,14,15.30,US$
Self-Adhesive Address Labels for Typewriters with Dispenser Box,4.6,2765,12.77,US$
Office Star - Task Chair with Contemporary Loop Arms,4.3,17,179.99,US$
Grip Seal Envelopes,4.6,99,23.61,US$
Penpower WorldCard Pro Card Scanner,3.4,687,179.95,US$
RCA ViSYS 25425RE1 Corded phone,4.0,104,259.99,US$
Cisco 8961 IP Phone Charcoal,3.3,12,29.95,US$
"Eureka Hand Vacuum, Bagless",4.2,10431,39.99,US$
LG G2,4.5,237,2396.99,US$
